2022-04-25 19:30:52.344391	 0.20 acc  :   	61.19 (¡À 0.84)  sen  :   	44.98 (¡À 1.32)  spe  :   	75.35 (¡À 1.24)  f1  :   	51.76 (¡À 1.15)  auc  :   	60.17 (¡À 0.84)
2022-05-06 15:14:04.458520	acc 0 :   	58.00 (¡À 2.44)	sen :   	55.29 (¡À 6.97)	spe :   	60.37 (¡À 3.43)f1 :   	54.82 (¡À 4.53)auc :   	57.83 (¡À 2.75)
2022-05-06 15:14:04.458520	acc 1 :   	58.41 (¡À 3.84)	sen :   	55.18 (¡À 4.18)	spe :   	61.19 (¡À 4.20)f1 :   	55.15 (¡À 5.01)auc :   	58.19 (¡À 3.90)
2022-05-06 15:14:04.458520	acc 2 :   	58.73 (¡À 3.17)	sen :   	53.98 (¡À 4.64)	spe :   	62.86 (¡À 4.86)f1 :   	54.78 (¡À 3.78)auc :   	58.42 (¡À 3.26)
2022-05-06 15:14:04.458520	acc 3 :   	57.77 (¡À 2.75)	sen :   	55.20 (¡À 3.70)	spe :   	59.83 (¡À 4.37)f1 :   	54.82 (¡À 3.37)auc :   	57.51 (¡À 2.68)
2022-05-06 15:14:04.458520	acc 4 :   	57.91 (¡À 1.37)	sen :   	54.01 (¡À 3.39)	spe :   	61.40 (¡À 3.52)f1 :   	54.35 (¡À 1.61)auc :   	57.70 (¡À 1.27)
2022-05-06 15:14:04.458520	acc 5 :   	57.87 (¡À 3.96)	sen :   	53.93 (¡À 6.98)	spe :   	61.13 (¡À 6.30)f1 :   	54.13 (¡À 5.71)auc :   	57.53 (¡À 4.09)
2022-05-06 15:14:04.458520	acc 6 :   	57.91 (¡À 2.26)	sen :   	53.70 (¡À 7.16)	spe :   	61.83 (¡À 3.97)f1 :   	54.02 (¡À 4.28)auc :   	57.77 (¡À 2.46)
2022-05-06 15:14:04.458520	acc 7 :   	58.09 (¡À 2.41)	sen :   	55.96 (¡À 3.39)	spe :   	60.01 (¡À 4.02)f1 :   	55.35 (¡À 2.31)auc :   	57.98 (¡À 2.34)
2022-05-06 15:14:04.458520	acc 8 :   	58.14 (¡À 4.65)	sen :   	52.90 (¡À 5.55)	spe :   	62.68 (¡À 5.50)f1 :   	53.99 (¡À 5.07)auc :   	57.79 (¡À 4.64)
2022-05-06 15:14:04.458520	acc 9 :   	59.22 (¡À 3.48)	sen :   	55.14 (¡À 4.45)	spe :   	62.82 (¡À 4.16)f1 :   	55.61 (¡À 4.11)auc :   	58.98 (¡À 3.52)
2022-05-06 15:14:04.458520	 0.20 acc  :   	58.21 (¡À 0.43)  sen  :   	54.53 (¡À 0.90)  spe  :   	61.41 (¡À 1.07)  f1  :   	54.70 (¡À 0.54)  auc  :   	57.97 (¡À 0.43)
